SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,PRICE,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-31-2019,Single Family Residential,2017 Rucker Ave,Everett,WA,98201,749900,5,3,North Everett,3060,749900,6534,1911,13,245,,Pending,,,https://www.redfin.com/WA/Everett/2017-Rucker-Ave-98201/home/2685340,NWMLS,1900020,N,Y,47.9904329,-122.2107945
PAST SALE,August-18-2021,Single Family Residential,2116 Lombard Ave,Everett,WA,98201,749950,4,2,Historic N Everett,1874,749950,6098,1910,14,400,,Pending,,,https://www.redfin.com/WA/Everett/2116-Lombard-Ave-98201/home/2688650,NWMLS,1898448,N,Y,47.9891481,-122.2031005
PAST SALE,,Multi-Family (2-4 Unit),2029 Walnut St,Everett,WA,98201,750000,2,4,North Everett,2700,750000,6098,1907,153,278,,Pending,,,https://www.redfin.com/WA/Everett/2029-Walnut-St-98201/home/54808181,NWMLS,1855435,N,Y,47.9898162,-122.1889607
PAST SALE,October-20-2017,Single Family Residential,2319 Everett Ave,Everett,WA,98201,794800,4,3,Riverside,3540,794800,5663,1920,26,225,,Pending,,,https://www.redfin.com/WA/Everett/2319-Everett-Ave-98201/home/2686197,NWMLS,1894043,N,Y,47.9821065,-122.1974865
PAST SALE,August-27-2021,Single Family Residential,1721 Oakes Ave,Everett,WA,98201,799900,3,2.5,Everett,1447,799900,6098,1905,14,553,,Pending,,,https://www.redfin.com/WA/Everett/1721-Oakes-Ave-98201/home/2687200,NWMLS,1896116,N,Y,47.9942368,-122.2037405
PAST SALE,,Single Family Residential,611 Alverson Blvd,Everett,WA,98201,799950,4,2.5,Historic N Everett,4679,799950,12632,1949,22,171,,Pending,,,https://www.redfin.com/WA/Everett/611-Alverson-Blvd-98201/home/2695958,NWMLS,1892706,N,Y,48.0089802,-122.2096451
PAST SALE,November-17-2017,Single Family Residential,3413 Federal Ave,Everett,WA,98201,850000,4,3,Rucker Hill,3150,850000,6098,1964,19,270,,Pending,,,https://www.redfin.com/WA/Everett/3413-Federal-Ave-98201/home/2685958,NWMLS,1897496,N,Y,47.9719732,-122.2170456
MLS Listing,,Multi-Family (2-4 Unit),2215 Wetmore Ave,Everett,WA,98201,850000,6,3,Everett,3494,850000,6098,1910,6,243,,Active,,,https://www.redfin.com/WA/Everett/2215-Wetmore-Ave-98201/home/2688820,NWMLS,1901881,N,Y,47.9878717,-122.2067287
MLS Listing,,Single Family Residential,1026 Lombard Ave,Everett,WA,98201,885000,4,3,North Everett,3056,885000,10890,1920,7,290,,Active,,,https://www.redfin.com/WA/Everett/1026-Lombard-Ave-98201/home/2541958,NWMLS,1900483,N,Y,48.0033278,-122.2027839
PAST SALE,June-21-2000,Single Family Residential,910 Hoyt Ave,Everett,WA,98201,910000,3,2.5,North Everett,2964,910000,7405,1923,34,307,,Pending,,,https://www.redfin.com/WA/Everett/910-Hoyt-Ave-98201/home/2737209,NWMLS,1886795,N,Y,48.0052578,-122.2097289
MLS Listing,,Single Family Residential,1305 Grand Ave,Everett,WA,98201,950000,3,2.5,North Everett,3685,950000,6098,1920,14,258,,Active,March-27-2022 01:00 PM,March-27-2022 03:00 PM,https://www.redfin.com/WA/Everett/1305-Grand-Ave-98201/home/2687538,NWMLS,1899055,N,Y,48.0000829,-122.2120425
PAST SALE,July-20-2020,Single Family Residential,1908 Rucker Ave,Everett,WA,98201,975000,6,4,Historic N Everett,4651,975000,6098,1941,22,210,,Pending,,,https://www.redfin.com/WA/Everett/1908-Rucker-Ave-98201/home/2685508,NWMLS,1888397,N,Y,47.9921701,-122.2115766
MLS Listing,,Multi-Family (2-4 Unit),3221 Grand,Everett,WA,98201,989000,8,6,Everett,4004,989000,6098,1890,12,247,,Active,,,https://www.redfin.com/WA/Everett/3221-Grand-Ave-98201/home/2685774,NWMLS,1900329,N,Y,47.9742827,-122.2121155
PAST SALE,,Multi-Family (5+ Unit),2531 Virginia Ave,Everett,WA,98201,1095000,7,6,Riverside,3276,1095000,6098,1901,64,334,,Pending,,,https://www.redfin.com/WA/Everett/2531-Virginia-Ave-98201/home/2686115,NWMLS,1878390,N,Y,47.9833322,-122.196874
PAST SALE,September-15-2014,Multi-Family (2-4 Unit),3409 Rockefeller Ave,Everett,WA,98201,1100000,7,4,Everett,2832,1100000,6292,1910,11,388,,Pending,,,https://www.redfin.com/WA/Everett/3409-Rockefeller-Ave-98201/home/2686912,NWMLS,1892807,N,Y,47.9722209,-122.2051188
MLS Listing,,Multi-Family (5+ Unit),3207 Hoyt Ave,Everett,WA,98201,1100000,7,5,Everett,3864,1100000,6098,1890,40,285,,Active,,,https://www.redfin.com/WA/Everett/3207-Hoyt-Ave-98201/home/2689559,NWMLS,1886042,N,Y,47.9748545,-122.2094996
PAST SALE,January-26-2000,Multi-Family (5+ Unit),3421 Wetmore Ave,Everett,WA,98201,1100000,8,6,Everett,4262,1100000,6098,1980,33,258,,Pending,,,https://www.redfin.com/WA/Everett/3421-Wetmore-Ave-98201/home/2684986,NWMLS,1890749,N,Y,47.9716668,-122.2065439
PAST SALE,August-2-2013,Multi-Family (5+ Unit),2402 Rucker Ave,Everett,WA,98201,1250000,10,6,Rucker Hill,4701,1250000,6098,1905,34,266,,Pending,,,https://www.redfin.com/WA/Everett/2402-Rucker-Ave-98201/home/2689230,NWMLS,1885390,N,Y,47.9857627,-122.2116727
PAST SALE,September-20-2005,Multi-Family (2-4 Unit),3010 Norton Ave,Everett,WA,98201,1635000,12,10,Everett,6836,1635000,4792,2006,28,239,,Pending,,,https://www.redfin.com/WA/Everett/3010-Norton-Ave-98201/home/2685635,NWMLS,1892033,N,Y,47.9772845,-122.2146682
PAST SALE,,Multi-Family (5+ Unit),3208 Hoyt Ave,Everett,WA,98201,3499950,24,18,Everett,11424,3499950,12197,1990,70,306,,Pending,,,https://www.redfin.com/WA/Everett/3208-Hoyt-Ave-98201/home/2689586,NWMLS,1877831,N,Y,47.9748744,-122.2103644
,,,,,,,,,,,X SQ FEET, Y PRICE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SLOPE,,CORREL,,,,,,,,,,
,,,,,,,,,,,,,,,241.0558891,,0.925868795,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,R² = 0.8572,,R=0.92,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,y=241.06*2000+124227,,,,,,,,,,,
,,,,,,,,,,,,,,,,"y=606,347",,,,,,,,,,,
